injection_OBJ_ID,injection_API,injection_lat,injection_lon,production_OBJ_ID,production_API,production_lat,production_lon,distance_miles,OBJ_ID,prod_change,distance_band
7521,34005200000000.0,40.88728253,-82.16039625,8840,34005200000000.0,40.87982,-82.23544,3.953899216831329,8840,29.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,10060,34005600000000.0,40.874682,-82.195541,2.0319304929421724,10060,0.0,1–3
7521,34005200000000.0,40.88728253,-82.16039625,7232,34005200000000.0,40.885093,-82.212521,2.7269835535236204,7232,0.0,1–3
7521,34005200000000.0,40.88728253,-82.16039625,5839,34005200000000.0,40.794401,-82.175831,6.4680808392084685,5839,0.0,5–10
7521,34005200000000.0,40.88728253,-82.16039625,233800,34169200000000.0,40.801656,-82.10255,6.64412091840386,233800,0.0,5–10
7521,34005200000000.0,40.88728253,-82.16039625,9583,34005600000000.0,40.792697,-82.162851,6.5365611076285495,9583,0.0,5–10
7521,34005200000000.0,40.88728253,-82.16039625,9594,34005600000000.0,40.800523,-82.152741,6.007910685552483,9594,0.0,5–10
7521,34005200000000.0,40.88728253,-82.16039625,233910,34169200000000.0,40.803602,-82.109944,6.354805001644639,233910,0.0,5–10
7521,34005200000000.0,40.88728253,-82.16039625,5520,34005200000000.0,40.80768,-82.164199,5.503654786265824,5520,0.0,5–10
7521,34005200000000.0,40.88728253,-82.16039625,5471,34005200000000.0,40.804026,-82.158491,5.753396435838718,5471,0.0,5–10
7521,34005200000000.0,40.88728253,-82.16039625,5482,34005200000000.0,40.814966,-82.182132,5.1241517665046095,5482,0.0,5–10
7521,34005200000000.0,40.88728253,-82.16039625,8121,34005200000000.0,40.825989,-82.181722,4.379205360637933,8121,8.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,7941,34005200000000.0,40.825169,-82.183171,4.45365834908514,7941,-10.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,7852,34005200000000.0,40.826268,-82.183347,4.383037931736405,7852,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,6768,34005200000000.0,40.820306,-82.16588,4.636548308183489,6768,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,231392,34169200000000.0,40.820434,-82.123221,5.010814654302411,231392,0.0,5–10
7521,34005200000000.0,40.88728253,-82.16039625,7868,34005200000000.0,40.825426,-82.176666,4.3576739222551,7868,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,10707,34005600000000.0,40.82708,-82.15481,4.169870810976899,10707,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,10541,34005600000000.0,40.832902,-82.14311,3.8644327599458332,10541,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,5349,34005200000000.0,40.833667,-82.136702,3.9059583998238256,5349,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,10535,34005600000000.0,40.833594,-82.144823,3.797776639168683,10535,12.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,5494,34005200000000.0,40.833276,-82.131912,4.017451303711103,5494,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,5265,34005200000000.0,40.830733,-82.164573,3.913330195453905,5265,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,5290,34005200000000.0,40.833424,-82.143198,3.828291128438875,5290,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,10145,34005600000000.0,40.829657,-82.152697,4.001861032606486,10145,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,8035,34005200000000.0,40.828738,-82.183335,4.218963348909269,8035,-10.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,10022,34005600000000.0,40.830694,-82.175993,3.9939800362551474,10022,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,10054,34005600000000.0,40.827086,-82.151091,4.1875553359457545,10054,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,10418,34005600000000.0,40.830926,-82.152885,3.913636891459781,10418,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,6272,34005200000000.0,40.827623,-82.148057,4.172252524021304,6272,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,5490,34005200000000.0,40.829945,-82.157285,3.965019568988485,5490,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,5432,34005200000000.0,40.836118,-82.135004,3.7759780041060953,5432,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,5266,34005200000000.0,40.830721,-82.163493,3.9114168026002063,5266,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,5135,34005200000000.0,40.830438,-82.133879,4.1649059499700165,5135,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,5535,34005200000000.0,40.833843,-82.132335,3.972875554565428,5535,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,5499,34005200000000.0,40.833294,-82.13232,4.00844334632448,5499,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,10425,34005600000000.0,40.830177,-82.150244,3.981162722826281,10425,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,6046,34005200000000.0,40.829109,-82.14575,4.091670733143843,6046,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,10550,34005600000000.0,40.832891,-82.14826,3.811269422062188,10550,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,10610,34005600000000.0,40.830511,-82.149353,3.9648012671819552,10610,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,10604,34005600000000.0,40.83636471,-82.12912709,3.8790520412601,10604,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,5705,34005200000000.0,40.836914,-82.156978,3.484748818180148,5705,0.0,3–5
7521,34005200000000.0,40.88728253,-82.16039625,10639,34005600000000.0,40.837593,-82.147465,3.4991172420480985,10639,0.0,3–5
